CC, methode_BC, chemin, classe, methode, methode_LOC, methode_CLOC, methode_DC
1, 0.0, C:\Users\Laurence\Desktop\IFT-3913\ift-3913-tp1\TP1_IFT3913\src\Classe.java, Classe.java, getFullFile(), 3, 0, 0.0
1, 0.0, C:\Users\Laurence\Desktop\IFT-3913\ift-3913-tp1\TP1_IFT3913\src\Classe.java, Classe.java, getFileContent(), 3, 0, 0.0
1, 0.0, C:\Users\Laurence\Desktop\IFT-3913\ift-3913-tp1\TP1_IFT3913\src\Classe.java, Classe.java, getMethods(), 3, 0, 0.0
1, 0.21428572, C:\Users\Laurence\Desktop\IFT-3913\ift-3913-tp1\TP1_IFT3913\src\Classe.java, Classe.java, lireFicherEnOrdre(), 14, 3, 0.21428572
1, 0.0, C:\Users\Laurence\Desktop\IFT-3913\ift-3913-tp1\TP1_IFT3913\src\Classe.java, Classe.java, setFichierComplet(File fichierComplet), 3, 0, 0.0
9, 0.021052632, C:\Users\Laurence\Desktop\IFT-3913\ift-3913-tp1\TP1_IFT3913\src\Classe.java, Classe.java, trouverMethodes(), 95, 18, 0.18947369
4, 0.055555556, C:\Users\Laurence\Desktop\IFT-3913\ift-3913-tp1\TP1_IFT3913\src\Classe.java, Classe.java, classe_LOC(), 9, 2, 0.22222222
4, 0.055555556, C:\Users\Laurence\Desktop\IFT-3913\ift-3913-tp1\TP1_IFT3913\src\Classe.java, Classe.java, classe_CLOC(), 36, 8, 0.22222222
2, 0.1, C:\Users\Laurence\Desktop\IFT-3913\ift-3913-tp1\TP1_IFT3913\src\Classe.java, Classe.java, classe_DC(), 10, 2, 0.2
2, 0.1, C:\Users\Laurence\Desktop\IFT-3913\ift-3913-tp1\TP1_IFT3913\src\Classe.java, Classe.java, classe_BC(), 10, 2, 0.2
1, 0.22222222, C:\Users\Laurence\Desktop\IFT-3913\ift-3913-tp1\TP1_IFT3913\src\Classe.java, Classe.java, WMC(), 9, 2, 0.22222222
1, 0.5, C:\Users\Laurence\Desktop\IFT-3913\ift-3913-tp1\TP1_IFT3913\src\ClasseTest.java, ClasseTest.java, testClasse_CLOC_fonctionne(), 6, 3, 0.5
1, 0.5, C:\Users\Laurence\Desktop\IFT-3913\ift-3913-tp1\TP1_IFT3913\src\ClasseTest.java, ClasseTest.java, testTrouverMethodes_bonContenu(), 6, 3, 0.5
1, 0.25641027, C:\Users\Laurence\Desktop\IFT-3913\ift-3913-tp1\TP1_IFT3913\src\CSV.java, CSV.java, ecrireClasse(List<Classe> ListeClasse), 39, 10, 0.25641027
1, 0.23255815, C:\Users\Laurence\Desktop\IFT-3913\ift-3913-tp1\TP1_IFT3913\src\CSV.java, CSV.java, ecrireMethode(List<Classe> ListeClasse), 43, 10, 0.23255815
1, 0.0, C:\Users\Laurence\Desktop\IFT-3913\ift-3913-tp1\TP1_IFT3913\src\Methode.java, Methode.java, trouverSignature(String ligne), 7, 0, 0.0
16, 0.0111811925, C:\Users\Laurence\Desktop\IFT-3913\ift-3913-tp1\TP1_IFT3913\src\Methode.java, Methode.java, trouverContenuMethode(), 218, 39, 0.17889908
1, 0.5, C:\Users\Laurence\Desktop\IFT-3913\ift-3913-tp1\TP1_IFT3913\src\Methode.java, Methode.java, methode_LOC(), 4, 2, 0.5
4, 0.055555556, C:\Users\Laurence\Desktop\IFT-3913\ift-3913-tp1\TP1_IFT3913\src\Methode.java, Methode.java, methode_CLOC(), 36, 8, 0.22222222
1, 0.6666667, C:\Users\Laurence\Desktop\IFT-3913\ift-3913-tp1\TP1_IFT3913\src\Methode.java, Methode.java, methode_DC(), 3, 2, 0.6666667
1, 0.6666667, C:\Users\Laurence\Desktop\IFT-3913\ift-3913-tp1\TP1_IFT3913\src\Methode.java, Methode.java, methode_BC(), 3, 2, 0.6666667
9, 0.028619528, C:\Users\Laurence\Desktop\IFT-3913\ift-3913-tp1\TP1_IFT3913\src\Methode.java, Methode.java, trouverCommentaireAvantMethode(), 66, 17, 0.25757575
1, 0.08695652, C:\Users\Laurence\Desktop\IFT-3913\ift-3913-tp1\TP1_IFT3913\src\Methode.java, Methode.java, CC(), 23, 2, 0.08695652
1, 0.21428572, C:\Users\Laurence\Desktop\IFT-3913\ift-3913-tp1\TP1_IFT3913\src\Methode.java, Methode.java, lireFicherEnOrdre(File fichier), 14, 3, 0.21428572
1, 0.33333334, C:\Users\Laurence\Desktop\IFT-3913\ift-3913-tp1\TP1_IFT3913\src\Methode.java, Methode.java, getSignature(), 3, 1, 0.33333334
1, 0.0, C:\Users\Laurence\Desktop\IFT-3913\ift-3913-tp1\TP1_IFT3913\src\Methode.java, Methode.java, getLine(), 3, 0, 0.0
1, 0.0, C:\Users\Laurence\Desktop\IFT-3913\ift-3913-tp1\TP1_IFT3913\src\Methode.java, Methode.java, getFile(), 3, 0, 0.0
1, 0.0, C:\Users\Laurence\Desktop\IFT-3913\ift-3913-tp1\TP1_IFT3913\src\Methode.java, Methode.java, getContentMethod(), 3, 0, 0.0
1, 0.0, C:\Users\Laurence\Desktop\IFT-3913\ift-3913-tp1\TP1_IFT3913\src\Methode.java, Methode.java, getCommentsBeforeMethod(), 3, 0, 0.0
4, 0.045454547, C:\Users\Laurence\Desktop\IFT-3913\ift-3913-tp1\TP1_IFT3913\src\TP.java, TP.java, iterateOnFiles(File[] directoryListing), 22, 4, 0.18181819
1, 0.0, C:\Users\Laurence\Desktop\IFT-3913\ift-3913-tp1\TP1_IFT3913\src\TP.java, TP.java, isValidPath(String path), 8, 0, 0.0
1, 0.2, C:\Users\Laurence\Desktop\IFT-3913\ift-3913-tp1\TP1_IFT3913\test.java, test.java, main(String[] args), 10, 2, 0.2
12, 0.013257575, C:\Users\Laurence\Desktop\IFT-3913\ift-3913-tp1\TP1_IFT3913\test.java, test.java, menuPrincipal(), 44, 7, 0.1590909
18, 0.011574074, C:\Users\Laurence\Desktop\IFT-3913\ift-3913-tp1\TP1_IFT3913\test.java, test.java, menuMembre(Membre membre), 48, 10, 0.20833333
1, 0.125, C:\Users\Laurence\Desktop\IFT-3913\ift-3913-tp1\TP1_IFT3913\test.java, test.java, afficherGuide(), 8, 1, 0.125
